subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,loss
128,64,32,256,128,8,256,0.0001,337.5636901855469,True,Completed,1529.6157377099153
64,16,256,8,8,8,256,1e-05,1.049285888671875,False,Not Completed,NA
64,32,32,256,128,16,8,5e-05,113.32150268554688,False,Not Completed,NA
64,2,8,8,256,8,256,0.001,1.301971435546875,False,Not Completed,NA
64,8,8,128,32,8,128,0.0001,5.366424560546875,True,Completed,12726.031796143157
64,2,16,32,8,32,16,0.0001,4.636932373046875,False,Not Completed,NA
128,8,256,128,64,64,64,0.0001,164.88790893554688,False,Not Completed,NA
128,32,64,64,8,8,256,0.0001,16.948455810546875,False,Not Completed,NA
32,4,128,128,32,16,32,0.0001,73.68478393554688,False,Not Completed,NA
128,4,256,32,32,8,64,0.001,16.675994873046875,False,Not Completed,NA
64,32,32,32,32,16,16,0.0001,5.616424560546875,False,Not Completed,NA
64,8,8,256,8,32,16,0.0001,18.118865966796875,False,Not Completed,NA
128,16,16,16,16,8,64,5e-05,0.508514404296875,False,Not Completed,NA
128,16,8,64,64,8,256,5e-05,2.811737060546875,False,Not Completed,NA
32,1,128,8,128,8,16,0.001,3.4541015625,False,Not Completed,NA
64,2,64,16,128,8,128,0.0001,4.657440185546875,False,Not Completed,NA
128,32,8,16,64,8,8,5e-05,2.220916748046875,False,Not Completed,NA
128,32,256,128,256,64,64,5e-05,275.0441589355469,False,Not Completed,NA
128,4,64,64,8,8,256,5e-05,16.948455810546875,False,Not Completed,NA
64,2,32,128,64,32,64,1e-05,36.563690185546875,False,Not Completed,NA
128,4,128,256,256,32,256,0.001,419.5246276855469,False,Not Completed,NA
64,32,64,128,16,64,256,5e-05,50.930877685546875,False,Not Completed,NA
32,1,64,256,8,64,16,5e-05,163.85763549804688,False,Not Completed,NA
128,4,256,64,64,16,64,1e-05,57.366424560546875,False,Not Completed,NA
32,16,32,32,128,8,8,1e-05,3.638885498046875,False,Not Completed,NA
128,16,64,32,16,8,32,0.001,3.250213623046875,False,Not Completed,NA
64,8,16,64,64,64,16,0.0001,3.417205810546875,False,Not Completed,NA
64,4,8,32,32,8,16,0.001,0.939666748046875,False,Not Completed,NA
32,4,256,128,16,64,16,5e-05,138.80197143554688,False,Not Completed,NA
32,4,128,64,8,8,32,1e-05,17.803924560546875,False,Not Completed,NA
128,64,256,128,64,8,64,1e-05,290.6418151855469,False,Not Completed,NA
128,4,256,128,256,16,256,0.0001,275.1379089355469,False,Not Completed,NA
128,16,128,256,32,8,128,1e-05,279.6183776855469,False,Not Completed,NA
