subvolume_size,patch_size,n_layers,d_model,d_ff,n_heads,d_encoder,lr,modelsize,completed,msg,dice_val_avg
128,32,8,64,32,16,128,5e-05,9.419158935546875,False,Not Completed,NA
128,16,16,64,32,8,16,0.0001,3.788299560546875,False,Not Completed,NA
128,16,256,128,64,8,128,0.0001,164.91915893554688,True,Completed,0.009240234134873996
128,64,64,128,128,16,16,0.0001,176.86837768554688,False,Not Completed,NA
128,16,32,32,256,16,8,1e-05,5.731658935546875,False,Not Completed,NA
128,32,256,32,128,8,32,1e-05,28.859588623046875,True,Completed,0.011097020120359957
128,16,16,32,16,8,128,1e-05,1.275604248046875,False,Not Completed,NA
128,64,32,128,16,128,8,5e-05,145.52462768554688,False,Not Completed,NA
128,32,8,128,16,8,16,0.0001,20.592010498046875,False,Not Completed,NA
128,16,128,128,16,16,32,1e-05,71.63790893554688,False,Not Completed,NA
128,16,256,128,64,16,256,5e-05,164.98165893554688,False,Not Completed,NA
128,32,256,256,64,16,128,0.0001,613.5246276855469,False,Not Completed,NA
128,16,64,128,16,8,8,1e-05,37.055877685546875,False,Not Completed,NA
128,32,32,256,32,32,8,5e-05,101.35275268554688,False,Not Completed,NA
128,64,8,128,16,64,256,0.0001,132.68185424804688,False,Not Completed,NA
128,64,256,256,8,64,32,1e-05,781.2668151855469,False,Not Completed,NA
128,64,16,64,8,32,256,1e-05,66.34591674804688,False,Not Completed,NA
128,32,8,32,32,32,16,1e-05,4.439666748046875,False,Not Completed,NA
128,32,128,64,32,64,32,0.0001,28.702362060546875,False,Not Completed,NA
128,64,64,128,128,16,128,0.0001,176.92306518554688,True,Completed,0.01260936689019824
128,64,8,128,8,128,8,1e-05,132.43527221679688,False,Not Completed,NA
128,32,256,32,32,32,32,1e-05,16.672088623046875,True,Completed,0.009964528765218953
128,64,32,64,32,16,32,5e-05,69.24337768554688,False,Not Completed,NA
128,16,16,128,256,128,8,0.0001,18.657440185546875,False,Not Completed,NA
128,64,32,32,256,16,64,5e-05,37.176971435546875,False,Not Completed,NA
128,64,128,256,256,64,32,0.0001,643.2511901855469,False,Not Completed,NA
128,32,16,64,256,8,64,5e-05,14.217987060546875,True,Completed,0.01405513686283181
128,16,64,256,8,16,32,0.0001,136.37228393554688,False,Not Completed,NA
128,64,32,256,32,128,64,1e-05,325.3527526855469,False,Not Completed,NA
128,16,16,64,16,64,32,5e-05,3.540252685546875,False,Not Completed,NA
128,32,32,256,64,32,8,5e-05,105.36056518554688,False,Not Completed,NA
128,16,128,64,256,32,16,0.0001,50.026580810546875,False,Not Completed,NA
128,64,8,128,8,32,16,0.0001,132.43917846679688,False,Not Completed,NA
128,32,128,32,256,8,64,5e-05,24.582244873046875,False,Not Completed,NA
128,32,64,64,8,64,256,1e-05,16.948455810546875,False,Not Completed,NA
128,16,64,256,32,32,16,5e-05,142.36837768554688,False,Not Completed,NA
128,32,16,256,16,8,8,5e-05,66.06564331054688,False,Not Completed,NA
128,32,256,64,32,64,16,1e-05,49.292205810546875,False,Not Completed,NA
128,16,32,128,16,32,32,1e-05,19.782440185546875,False,Not Completed,NA
128,16,128,32,32,8,16,1e-05,6.912322998046875,False,Not Completed,NA
128,64,128,32,16,16,8,5e-05,37.334197998046875,False,Not Completed,NA
128,64,8,8,64,8,32,1e-05,8.095916748046875,False,Not Completed,NA
128,16,32,8,128,8,128,1e-05,0.764129638671875,False,Not Completed,NA
128,32,256,64,256,8,16,5e-05,105.72970581054688,False,Not Completed,NA
128,64,32,32,8,8,256,1e-05,33.264862060546875,False,Not Completed,NA
128,16,64,64,256,8,256,5e-05,25.678924560546875,False,Not Completed,NA
128,64,32,256,256,64,64,0.0001,353.4074401855469,False,Not Completed,NA
128,32,8,128,32,32,64,1e-05,20.866424560546875,False,Not Completed,NA
128,64,64,16,128,8,8,0.0001,18.650115966796875,False,Not Completed,NA
128,64,256,32,64,32,32,5e-05,48.727752685546875,True,Completed,0.010444473397607604
128,32,32,256,64,16,64,1e-05,105.41525268554688,False,Not Completed,NA
128,32,64,256,32,128,64,0.0001,169.97775268554688,False,Not Completed,NA
128,64,256,128,64,128,64,1e-05,290.6418151855469,False,Not Completed,NA
128,16,64,128,128,8,256,0.0001,51.231658935546875,False,Not Completed,NA
128,16,8,32,128,8,8,5e-05,1.374237060546875,False,Not Completed,NA
128,32,128,16,8,16,16,1e-05,3.419647216796875,True,Completed,0.01015721777609239
128,32,32,32,128,16,256,5e-05,7.175994873046875,False,Not Completed,NA
128,64,16,256,16,16,128,0.0001,290.1281433105469,False,Not Completed,NA
128,64,16,256,256,64,64,1e-05,305.0949401855469,False,Not Completed,NA
128,32,16,128,256,64,16,0.0001,32.442596435546875,False,Not Completed,NA
128,16,256,128,128,64,64,1e-05,197.01290893554688,False,Not Completed,NA
128,32,16,128,256,16,256,5e-05,32.559783935546875,False,Not Completed,NA
128,16,16,32,32,8,64,5e-05,1.394744873046875,False,Not Completed,NA
128,32,64,16,256,16,8,1e-05,6.716033935546875,False,Not Completed,NA
128,16,256,8,8,8,128,5e-05,1.059051513671875,False,Not Completed,NA
128,16,128,32,8,32,16,1e-05,5.388885498046875,False,Not Completed,NA
128,64,16,256,32,16,128,0.0001,291.1300964355469,False,Not Completed,NA
128,32,64,256,256,32,64,1e-05,226.08712768554688,False,Not Completed,NA
128,32,128,16,64,16,8,1e-05,5.223846435546875,False,Not Completed,NA
128,16,8,8,256,8,32,1e-05,0.435516357421875,False,Not Completed,NA
